"","V4","total"
"960","@yourenotapanda",21340
"961","@offclastro",21252
"962","@lauramiers",21243
"963","@navyoo",21243
"964","@domdotty",21217
"965","@siriyonce",21208
"966","@saijaii",21186
"967","@DrJCoftheDC",21050
"968","@mikepompeo",20992
"969","@robtgibbs",20983
"970","@MissGinaDarling",20972
"971","@chainplus",20953
"972","@lolovonz",20948
"973","@govridge",20923
"974","@VP",20867
"975","@robertogarrdner",20842
"976","@yein654",20841
"977","@nanfudge",20830
"978","@kicchasudeep",20828
"979","@ygentofficial",20795
"980","@isicalynn",20783
"981","@letstalklegal",20781
"982","@marshallene",20763
"983","@ronfilipkowski",20751
"984","@universalsoftw2",20721
"985","@phntmgeek",20676
"986","@DavidDTSS",20645
"987","@CheaTaylor",20617
"988","@jennontherocks",20617
"989","@MGRADS",20603
"990","@pmcculloughmd",20564
"991","@igbuducj",20563
"992","@deadlioness",20547
"993","@ohkayx33",20531
"994","@rexfeels",20520
"995","@nowthisnews",20516
"996","@sportsjimshow",20448
"997","@sasyity",20442
"998","@lindsaytuchman",20410
"999","@coldplay",20373
"1000","@quintabrunson",20370
"1001","@aginnt",20352
"1002","@thisisnongshiba",20340
"1003","@ohhitsleek",20338
"1004","@rupertpearse",20257
"1005","@sultanoftired",20179
"1006","@abibofficial",20140
"1007","@senschumer",20118
"1008","@afrkml",20114
"1009","@champaaaaaa",20110
